purchase_order_id	title	amount
IF00346204	QHV 30-720-190	1.00000000
IF00346204	UPG 13216 T	2.00000000
IF00347718	QHV 30-800-004	1.00000000
IF00347718	QHV 30-620-002	3.00000000
IF00347718	QHV 30-800-001	1.00000000
IF00347718	BE 602190 100	4.00000000
IF00350815	UB W1066/5 HIS	1.00000000
IF00350815	ZCV IL179PB	1.00000000
IF00350815	ZCV RG4353MP	1.00000000
IF00350815	UB 55-3987 HTBX	4.00000000
IF00359693	QHV 30-924-054	1.00000000
IF00359693	QHV 30-924-056	1.00000000
IF00359693	QHV 30-200-005	2.00000000
IF00359693	QHV 30-200-009	2.00000000
IF00359693	QRW 0450906407	3.00000000
IF00361337	QHV 30-310-031	8.00000000
IF00361337	QHV 30-700-168	4.00000000
IF00361337	QHV 30-839-002	2.00000000
IF00361337	ZEI 3040002	2.00000000
IF00361337	QHV 30-605-014	3.00000000
I100003096	RPKD 7001 636	1.00000000
I100003096	AJZ 417 0027 10	1.00000000
I100004022	HJE 102521116	1.00000000
I100004022	HZI 4H-042-K	16.00000000
I100004022	HJE 152521116	1.00000000
IF00325591	HRW 6366 000 011	2.00000000
IF00326028	U PK6F 9S410 PP	8.00000000
IF00335177	QHV 30-720-116	1.00000000
IF00335177	UTQX 01630	1.00000000
IF00335177	QHV 30-310-001	4.00000000
IF00335177	0209.RR	2.00000000
IF00339246	ZEI 3045013	1.00000000
IF00343146	QHV 30-115-007	1.00000000
IF00348275	VH 1533-1534	2.00000000
IF00350791	QHV 30-720-025	2.00000000
IF00351385	QHV 30-800-025	1.00000000
IF00351385	HXA HQ 3028 R	2.00000000
IF00351385	BTI 04-0605	3.00000000
IF00351517	UB 87-72731 050	4.00000000
IF00351517	VH 1533/1-1534/1	1.00000000
IF00351517	HRW 230858	2.00000000
IF00351517	HPW PC 5272 HIS	3.00000000
IF00351517	R 6EZ 1675	5.00000000
IF00351517	VIH 6EZ 1708	5.00000000
IF00357009	UB 87-72755 HIS	4.00000000
IF00357009	UB 14-022110.00	4.00000000
IF00358196	ZEI 3045009	2.00000000
IF00363457	QHV 30-315-022	1.00000000
IF00366567	QHV 30-720-059	5.00000000
IF00368001	ZEI 3045013	2.00000000
IF00372524	QHV 30-720-054	10.00000000
IF00382605	XCP 422 0018 10	8.00000000
IF00382777	QHV 30-300-030	1.00000000
IF00382777	QHV 30-350-007	2.00000000
IF00387841	QHV 30-700-408	8.00000000
IF00387841	HXA HQ 2615 Q	3.00000000
IF00387841	UB 08-141300.00	4.00000000
IF00387841	QHV 30-145-016	10.00000000
IF00387841	QHV 30-145-012	10.00000000
IF00390820	UTQX 45220	2.00000000
IF00390820	HRW 3000 951 024	15.00000000
IF00390820	HRW 3000 970 002	3.00000000
IF00390820	QHV 30-900-029	2.00000000
IF00390820	VH 1608-1611	1.00000000
IF00390820	VH 1606-1609	1.00000000
IF00390820	UTQX 47541	1.00000000
IF00394255	G 439012BAH	1.00000000
IF00400307	U PK6F 9S410 PP	4.00000000
IF00403295	QHV 30-350-008	2.00000000
IF00403295	ZEI 3045062	1.00000000
IF00417319	QHV 30-225-011	3.00000000
IF00417319	PG 877	5.00000000
IF00417319	TAG 916.295	4.00000000
IF00417319	QHV 30-116-017	5.00000000
IF00417319	QHV 30-300-034	2.00000000
IF00426147	QHV 30-122-016	10.00000000
IF00426147	QHV 30-615-014	1.00000000
IF00426147	VH 1630-1759	1.00000000
IF00325989	WII 3301064	1.00000000
IF00330929	ZEI 3045020	1.00000000
IF00330929	QHV 30-920-016	1.00000000
IF00333108	QHV 30-910-033	2.00000000
IF00333108	QHV 30-910-034	3.00000000
IF00333570	QHV 30-705-037	1.00000000
IF00334174	VAH W40548-00	1.00000000
IF00334174	VH 6658-6659	2.00000000
IF00336803	UB 87-72759 050	4.00000000
IF00336803	ZCV RG4515HX	1.00000000
IF00343202	BTI 04-0285	10.00000000
IF00344531	QHV 30-515-007	2.00000000
IF00347798	QHV 30-372-002	1.00000000
IF00347798	QHV 30-731-001	1.00000000
IF00349329	IXG RQ.03013.02.02	5.00000000
IF00349329	ZEI 3020013	1.00000000
IF00349329	QHV 30-170-011	1.00000000
IF00349329	U 4B5Y 12405 PP	50.00000000
IF00349329	IXG RQ.04516.02.02	2.00000000
IF00349329	QHV 30-170-009	1.00000000
IF00349329	QHV 30-805-015	1.00000000
IF00349329	HRW 3000 951 024	5.00000000
IF00349329	UIT OP32011.4.7	5.00000000
IF00349329	QHV 30-135-026	10.00000000
IF00349329	TGP 556025	1.00000000
IF00349329	QHV 30-135-010	10.00000000
IF00349329	QHV 30-805-018	3.00000000
IF00349329	AJZ 510 0011 11	1.00000000
IF00350810	U BTPK6Y 2Z021 PP	3.00000000
IF00352426	U BTPK6Y 2B008 PP	3.00000000
IF00353232	SED 431-1946A-JT	1.00000000
IF00353232	SED 431-1946G-JT	1.00000000
IF00353232	SED 431-1950G-AS-JT	1.00000000
IF00353556	QHV 30-700-107	3.00000000
IF00353556	IJG 502-1307	10.00000000
IF00353556	QHV 30-920-007	5.00000000
IF00353556	QHV 30-920-008	3.00000000
IF00368075	QHV 30-730-022	10.00000000
IF00368075	QHV 30-705-014	6.00000000
